model,script_id,domain,order,history_mode,run_id,step,step_type,score,anchor,shift,deviation,step_delta,confidence,explanation_len_words
gemma2_9b,B03,duty,forward,history,1,C1,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,1,C2,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,1,C3,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,1,C4,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,2,R,rule,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,2,C1,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,2,C2,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,2,C3,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,history,2,C4,commitment,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,no_history,1,R,rule,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,no_history,1,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,forward,no_history,1,C2,commitment,-2,-2,0,0,0,95,10
gemma2_9b,B03,duty,forward,no_history,1,C3,commitment,-2,-2,0,0,0,100,12
gemma2_9b,B03,duty,forward,no_history,1,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,forward,no_history,2,R,rule,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,forward,no_history,2,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,forward,no_history,2,C2,commitment,-2,-2,0,0,0,95,10
gemma2_9b,B03,duty,forward,no_history,2,C3,commitment,-2,-2,0,0,0,100,12
gemma2_9b,B03,duty,forward,no_history,2,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,1,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,1,C3,commitment,-2,-2,0,0,0,95,11
gemma2_9b,B03,duty,reverse,history,1,C2,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,1,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,1,R,rule,-2,-2,0,0,0,95,13
gemma2_9b,B03,duty,reverse,history,2,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,2,C3,commitment,-2,-2,0,0,0,95,11
gemma2_9b,B03,duty,reverse,history,2,C2,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,2,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,history,2,R,rule,-2,-2,0,0,0,95,13
gemma2_9b,B03,duty,reverse,no_history,1,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,no_history,1,C3,commitment,-2,-2,0,0,0,100,12
gemma2_9b,B03,duty,reverse,no_history,1,C2,commitment,-2,-2,0,0,0,95,10
gemma2_9b,B03,duty,reverse,no_history,1,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,no_history,1,R,rule,-2,-2,0,0,0,95,15
gemma2_9b,B03,duty,reverse,no_history,2,C4,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,no_history,2,C3,commitment,-2,-2,0,0,0,100,12
gemma2_9b,B03,duty,reverse,no_history,2,C2,commitment,-2,-2,0,0,0,95,10
gemma2_9b,B03,duty,reverse,no_history,2,C1,commitment,-2,-2,0,0,0,95,14
gemma2_9b,B03,duty,reverse,no_history,2,R,rule,-2,-2,0,0,0,95,15
gemma2_9b,B04,duty,forward,history,1,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,history,1,C1,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,history,1,C2,commitment,-2,-1,-1,1,-1,90,12
gemma2_9b,B04,duty,forward,history,1,C3,commitment,-2,-1,-1,1,0,90,9
gemma2_9b,B04,duty,forward,history,1,C4,commitment,-2,-1,-1,1,0,90,10
gemma2_9b,B04,duty,forward,history,2,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,history,2,C1,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,history,2,C2,commitment,-2,-1,-1,1,-1,90,12
gemma2_9b,B04,duty,forward,history,2,C3,commitment,-2,-1,-1,1,0,90,9
gemma2_9b,B04,duty,forward,history,2,C4,commitment,-2,-1,-1,1,0,90,10
gemma2_9b,B04,duty,forward,no_history,1,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,no_history,1,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B04,duty,forward,no_history,1,C2,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,forward,no_history,1,C3,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,forward,no_history,1,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,forward,no_history,2,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,forward,no_history,2,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B04,duty,forward,no_history,2,C2,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,forward,no_history,2,C3,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,forward,no_history,2,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,history,1,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,history,1,C3,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,1,C2,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,1,C1,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,1,R,rule,-2,-1,-1,1,-1,90,13
gemma2_9b,B04,duty,reverse,history,2,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,history,2,C3,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,2,C2,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,2,C1,commitment,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,history,2,R,rule,-2,-1,-1,1,-1,90,13
gemma2_9b,B04,duty,reverse,no_history,1,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,1,C3,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,1,C2,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,1,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B04,duty,reverse,no_history,1,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B04,duty,reverse,no_history,2,C4,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,2,C3,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,2,C2,commitment,-1,-1,0,0,0,80,16
gemma2_9b,B04,duty,reverse,no_history,2,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B04,duty,reverse,no_history,2,R,rule,-1,-1,0,0,0,80,12
gemma2_9b,B05,duty,forward,history,1,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B05,duty,forward,history,1,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B05,duty,forward,history,1,C2,commitment,-2,-1,-1,1,-1,90,12
gemma2_9b,B05,duty,forward,history,1,C3,commitment,-2,-1,-1,1,0,90,14
gemma2_9b,B05,duty,forward,history,1,C4,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B05,duty,forward,history,2,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B05,duty,forward,history,2,C1,commitment,-1,-1,0,0,0,80,10
gemma2_9b,B05,duty,forward,history,2,C2,commitment,-2,-1,-1,1,-1,90,12
gemma2_9b,B05,duty,forward,history,2,C3,commitment,-2,-1,-1,1,0,90,14
gemma2_9b,B05,duty,forward,history,2,C4,commitment,-2,-1,-1,1,0,90,11
gemma2_9b,B05,duty,forward,no_history,1,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B05,duty,forward,no_history,1,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,forward,no_history,1,C2,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,forward,no_history,1,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,forward,no_history,1,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,forward,no_history,2,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B05,duty,forward,no_history,2,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,forward,no_history,2,C2,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,forward,no_history,2,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,forward,no_history,2,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,history,1,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,history,1,C3,commitment,-2,-1,-1,1,-1,90,14
gemma2_9b,B05,duty,reverse,history,1,C2,commitment,-2,-1,-1,1,0,90,10
gemma2_9b,B05,duty,reverse,history,1,C1,commitment,-2,-1,-1,1,0,90,13
gemma2_9b,B05,duty,reverse,history,1,R,rule,-2,-1,-1,1,0,95,11
gemma2_9b,B05,duty,reverse,history,2,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,history,2,C3,commitment,-2,-1,-1,1,-1,90,14
gemma2_9b,B05,duty,reverse,history,2,C2,commitment,-2,-1,-1,1,0,90,10
gemma2_9b,B05,duty,reverse,history,2,C1,commitment,-2,-1,-1,1,0,90,13
gemma2_9b,B05,duty,reverse,history,2,R,rule,-2,-1,-1,1,0,95,11
gemma2_9b,B05,duty,reverse,no_history,1,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,no_history,1,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,reverse,no_history,1,C2,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,reverse,no_history,1,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,no_history,1,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B05,duty,reverse,no_history,2,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,no_history,2,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,reverse,no_history,2,C2,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B05,duty,reverse,no_history,2,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B05,duty,reverse,no_history,2,R,rule,-1,-1,0,0,0,80,15
gemma2_9b,B06,duty,forward,history,1,R,rule,-1,-1,0,0,0,70,14
gemma2_9b,B06,duty,forward,history,1,C1,commitment,-1,-1,0,0,0,70,12
gemma2_9b,B06,duty,forward,history,1,C2,commitment,-1,-1,0,0,0,70,8
gemma2_9b,B06,duty,forward,history,1,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B06,duty,forward,history,1,C4,commitment,-1,-1,0,0,0,70,8
gemma2_9b,B06,duty,forward,history,2,R,rule,-1,-1,0,0,0,70,14
gemma2_9b,B06,duty,forward,history,2,C1,commitment,-1,-1,0,0,0,70,12
gemma2_9b,B06,duty,forward,history,2,C2,commitment,-1,-1,0,0,0,70,8
gemma2_9b,B06,duty,forward,history,2,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B06,duty,forward,history,2,C4,commitment,-1,-1,0,0,0,70,8
gemma2_9b,B06,duty,forward,no_history,1,R,rule,-1,-1,0,0,0,70,14
gemma2_9b,B06,duty,forward,no_history,1,C1,commitment,1,-1,2,2,2,70,18
gemma2_9b,B06,duty,forward,no_history,1,C2,commitment,-1,-1,0,0,-2,70,11
gemma2_9b,B06,duty,forward,no_history,1,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B06,duty,forward,no_history,1,C4,commitment,1,-1,2,2,2,70,16
gemma2_9b,B06,duty,forward,no_history,2,R,rule,-1,-1,0,0,0,70,14
gemma2_9b,B06,duty,forward,no_history,2,C1,commitment,1,-1,2,2,2,70,18
gemma2_9b,B06,duty,forward,no_history,2,C2,commitment,-1,-1,0,0,-2,70,11
gemma2_9b,B06,duty,forward,no_history,2,C3,commitment,-1,-1,0,0,0,70,11
gemma2_9b,B06,duty,forward,no_history,2,C4,commitment,1,-1,2,2,2,70,16
gemma2_9b,B06,duty,reverse,history,1,C4,commitment,1,1,0,0,0,70,16
gemma2_9b,B06,duty,reverse,history,1,C3,commitment,-1,1,-2,2,-2,60,10
gemma2_9b,B06,duty,reverse,history,1,C2,commitment,-1,1,-2,2,0,60,7
gemma2_9b,B06,duty,reverse,history,1,C1,commitment,-1,1,-2,2,0,60,10
gemma2_9b,B06,duty,reverse,history,1,R,rule,-2,1,-3,3,-1,90,10
gemma2_9b,B06,duty,reverse,history,2,C4,commitment,1,1,0,0,0,70,16
gemma2_9b,B06,duty,reverse,history,2,C3,commitment,-1,1,-2,2,-2,60,10
gemma2_9b,B06,duty,reverse,history,2,C2,commitment,-1,1,-2,2,0,60,7
gemma2_9b,B06,duty,reverse,history,2,C1,commitment,-1,1,-2,2,0,60,10
gemma2_9b,B06,duty,reverse,history,2,R,rule,-2,1,-3,3,-1,90,10
gemma2_9b,B06,duty,reverse,no_history,1,C4,commitment,1,1,0,0,0,70,16
gemma2_9b,B06,duty,reverse,no_history,1,C3,commitment,-1,1,-2,2,-2,70,11
gemma2_9b,B06,duty,reverse,no_history,1,C2,commitment,-1,1,-2,2,0,70,11
gemma2_9b,B06,duty,reverse,no_history,1,C1,commitment,1,1,0,0,2,70,18
gemma2_9b,B06,duty,reverse,no_history,1,R,rule,-1,1,-2,2,-2,70,14
gemma2_9b,B06,duty,reverse,no_history,2,C4,commitment,1,1,0,0,0,70,16
gemma2_9b,B06,duty,reverse,no_history,2,C3,commitment,-1,1,-2,2,-2,70,11
gemma2_9b,B06,duty,reverse,no_history,2,C2,commitment,-1,1,-2,2,0,70,11
gemma2_9b,B06,duty,reverse,no_history,2,C1,commitment,1,1,0,0,2,70,18
gemma2_9b,B06,duty,reverse,no_history,2,R,rule,-1,1,-2,2,-2,70,14
gemma2_9b,B07,duty,forward,history,1,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,1,C1,commitment,-2,-2,0,0,0,90,8
gemma2_9b,B07,duty,forward,history,1,C2,commitment,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,1,C3,commitment,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,1,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B07,duty,forward,history,2,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,2,C1,commitment,-2,-2,0,0,0,90,8
gemma2_9b,B07,duty,forward,history,2,C2,commitment,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,2,C3,commitment,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,history,2,C4,commitment,-2,-2,0,0,0,90,12
gemma2_9b,B07,duty,forward,no_history,1,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,no_history,1,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,1,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,1,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,1,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,2,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,forward,no_history,2,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,2,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,2,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,forward,no_history,2,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,1,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,1,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,1,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,1,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,1,R,rule,-2,-2,0,0,0,90,11
gemma2_9b,B07,duty,reverse,history,2,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,2,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,2,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,2,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,history,2,R,rule,-2,-2,0,0,0,90,11
gemma2_9b,B07,duty,reverse,no_history,1,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,1,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,1,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,1,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,1,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B07,duty,reverse,no_history,2,C4,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,2,C3,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,2,C2,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,2,C1,commitment,-2,-2,0,0,0,90,9
gemma2_9b,B07,duty,reverse,no_history,2,R,rule,-2,-2,0,0,0,90,10
gemma2_9b,B08,duty,forward,history,1,R,rule,-1,-1,0,0,0,80,13
gemma2_9b,B08,duty,forward,history,1,C1,commitment,-1,-1,0,0,0,90,18
gemma2_9b,B08,duty,forward,history,1,C2,commitment,-1,-1,0,0,0,95,15
gemma2_9b,B08,duty,forward,history,1,C3,commitment,-1,-1,0,0,0,99,14
gemma2_9b,B08,duty,forward,history,1,C4,commitment,-1,-1,0,0,0,100,13
gemma2_9b,B08,duty,forward,history,2,R,rule,-1,-1,0,0,0,80,13
gemma2_9b,B08,duty,forward,history,2,C1,commitment,-1,-1,0,0,0,90,18
gemma2_9b,B08,duty,forward,history,2,C2,commitment,-1,-1,0,0,0,95,15
gemma2_9b,B08,duty,forward,history,2,C3,commitment,-1,-1,0,0,0,99,14
gemma2_9b,B08,duty,forward,history,2,C4,commitment,-1,-1,0,0,0,100,13
gemma2_9b,B08,duty,forward,no_history,1,R,rule,-1,-1,0,0,0,80,13
gemma2_9b,B08,duty,forward,no_history,1,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,forward,no_history,1,C2,commitment,-1,-1,0,0,0,80,9
gemma2_9b,B08,duty,forward,no_history,1,C3,commitment,-1,-1,0,0,0,80,9
gemma2_9b,B08,duty,forward,no_history,1,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,forward,no_history,2,R,rule,-1,-1,0,0,0,80,13
gemma2_9b,B08,duty,forward,no_history,2,C1,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,forward,no_history,2,C2,commitment,-1,-1,0,0,0,80,9
gemma2_9b,B08,duty,forward,no_history,2,C3,commitment,-1,-1,0,0,0,80,9
gemma2_9b,B08,duty,forward,no_history,2,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,reverse,history,1,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,reverse,history,1,C3,commitment,-1,-1,0,0,0,70,13
gemma2_9b,B08,duty,reverse,history,1,C2,commitment,-1,-1,0,0,0,70,14
gemma2_9b,B08,duty,reverse,history,1,C1,commitment,-1,-1,0,0,0,70,13
gemma2_9b,B08,duty,reverse,history,1,R,rule,-2,-1,-1,1,-1,90,15
gemma2_9b,B08,duty,reverse,history,2,C4,commitment,-1,-1,0,0,0,70,16
gemma2_9b,B08,duty,reverse,history,2,C3,commitment,-1,-1,0,0,0,70,13
